Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,16,8,"M:Microsoft.Maui.Storage.Preferences.Set(System.String,System.Boolean)",,,,,"Preferences.Set(""hasActiveGame"", hasActive);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,10,8,T:Microsoft.Maui.Storage.Preferences,,,,,"var value = Preferences.Get(""hasActiveGame"", false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,10,8,"M:Microsoft.Maui.Storage.Preferences.Get(System.String,System.Boolean)",,,,,"var value = Preferences.Get(""hasActiveGame"", false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/IndexedDbService.cs,17,8,T:Microsoft.Maui.Storage.FileSystem,,,,,var folder = FileSystem.AppDataDirectory;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/IndexedDbService.cs,17,8,P:Microsoft.Maui.Storage.FileSystem.AppDataDirectory,,,,,var folder = FileSystem.AppDataDirectory;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/IndexedDbService.cs,17,8,T:Microsoft.Maui.Storage.FileSystem,,,,,var folder = FileSystem.AppDataDirectory;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/IndexedDbService.cs,17,8,P:Microsoft.Maui.Storage.FileSystem.AppDataDirectory,,,,,var folder = FileSystem.AppDataDirectory;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Platforms/Android/MainApplication.cs,13,1,T:Microsoft.Maui.Hosting.MauiApp,,,,,protected override MauiApp CreateMauiApp()
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Platforms/Android/MainApplication.cs,13,47,T:Microsoft.Maui.Hosting.MauiApp,,,,,MauiProgram.CreateMauiApp()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Platforms/Android/MainApplication.cs,9,2,"M:Microsoft.Maui.MauiApplication.#ctor(System.IntPtr,Android.Runtime.JniHandleOwnership)",,,,,": base(handle, ownership)"
